"cell_id","sdimx","sdimy","cell_type"
"cell_163",2807.27,-1159.9,"L4 eNeuron"
"cell_164",2746.73,-1495.1,"L4 eNeuron"
"cell_165",2729.73,-366.94,"L4 eNeuron"
"cell_166",2729.87,-1388.5,"L4 eNeuron"
"cell_167",2722.57,-513.53,"L4 eNeuron"
"cell_169",2700.37,-289.92,"L4 eNeuron"
"cell_170",2686.47,-1555.4,"L4 eNeuron"
"cell_172",2639.67,-1816.8,"L4 eNeuron"
"cell_173",2637.67,-1311.8,"L4 eNeuron"
"cell_174",2633.27,-1223.2,"L4 eNeuron"
"cell_175",2621.07,-1954.9,"L4 eNeuron"
"cell_176",2624.17,-1410.2,"L4 eNeuron"
"cell_179",2599.27,-1103.8,"L4 eNeuron"
"cell_180",2590.07,-247.23,"L4 eNeuron"
"cell_181",2583.17,-1534.7,"L4 eNeuron"
"cell_182",2569.37,-493.17,"L4 eNeuron"
"cell_183",2563.67,-176.2,"L4 eNeuron"
"cell_184",2543.37,-1197.8,"L4 eNeuron"
"cell_185",2528.47,-1370.7,"L4 eNeuron"
"cell_186",2530.87,-324.83,"L4 eNeuron"
"cell_187",2529.57,-1443.6,"L4 eNeuron"
"cell_188",2503.17,-427.71,"L4 eNeuron"
"cell_189",2501.77,-1535.1,"L4 eNeuron"
"cell_190",2463.47,-900.27,"L4 eNeuron"
"cell_191",2445.37,-224.88,"L4 eNeuron"
"cell_192",2421.67,-1461.1,"L4 eNeuron"
"cell_194",2408.07,-1117.7,"L4 eNeuron"
"cell_195",2413.27,-440.01,"L2/3 eNeuron"
"cell_196",2407.37,-1737.6,"L4 eNeuron"
"cell_197",2385.87,-945.65,"L4 eNeuron"
"cell_200",2323.37,-1802.9,"L4 eNeuron"
"cell_201",2332.07,-1326.7,"L4 eNeuron"
"cell_203",2296.57,-514.6,"L4 eNeuron"
"cell_205",2279.77,-861.75,"L4 eNeuron"
"cell_207",2252.07,-743.94,"L4 eNeuron"
"cell_208",2247.57,-1463.2,"L4 eNeuron"
"cell_209",2240.87,-1109,"L4 eNeuron"
"cell_210",2226.67,-464.69,"L4 eNeuron"
"cell_211",2203.27,-918.22,"L4 eNeuron"
"cell_212",2197.37,-1748.9,"L4 eNeuron"
"cell_214",2153.47,-743.17,"L2/3 eNeuron"
"cell_215",2126.17,-1087.2,"L2/3 eNeuron"
"cell_216",2099.27,-856.63,"L4 eNeuron"
"cell_217",2104.27,-531.71,"L4 eNeuron"
"cell_218",2086.87,-1751.5,"L4 eNeuron"
"cell_219",2082.07,-653.89,"L4 eNeuron"
"cell_222",2052.37,-1164.1,"L4 eNeuron"
"cell_223",2034.97,-1536.8,"L4 eNeuron"
"cell_224",1986.67,-1020.7,"L4 eNeuron"
"cell_225",1965.17,-918.24,"L4 eNeuron"
"cell_226",1876.87,-1046.5,"L4 eNeuron"
"cell_228",5159.8,-794.27,"L5 eNeuron"
"cell_229",5119.29,-892.49,"L5 eNeuron"
"cell_230",4970.61,-1037.7,"L5 eNeuron"
"cell_231",4997.85,-1174.9,"L5 eNeuron"
"cell_232",4899.09,-864.35,"L5 eNeuron"
"cell_233",4879.9,-1112.1,"L6 eNeuron"
"cell_234",4851.6,-1240.8,"L5 eNeuron"
"cell_235",4823.56,-1365.4,"L5 eNeuron"
"cell_236",4804.11,-713.46,"L5 eNeuron"
"cell_237",4721.72,-1351.7,"L4 eNeuron"
"cell_238",4682.87,-874.24,"L6 eNeuron"
"cell_239",4669.97,-1231.8,"L6 eNeuron"
"cell_241",4607.14,-1336,"L4 eNeuron"
"cell_242",4547.35,-568.71,"L5 eNeuron"
"cell_243",4537.9,-1744.9,"L5 eNeuron"
"cell_244",4510.15,-1145.7,"L5 eNeuron"
"cell_247",4436.92,-999.3,"L6 eNeuron"
"cell_248",4418.12,-1623.1,"L6 eNeuron"
"cell_249",4406.42,-1437.8,"L6 eNeuron"
"cell_250",4392.42,-752.18,"L5 eNeuron"
"cell_251",4317.02,-490.18,"L5 eNeuron"
"cell_252",4240.52,-1073.6,"L5 eNeuron"
"cell_254",4222.32,-761.15,"L4 eNeuron"
"cell_255",4172.12,-529.72,"L6 eNeuron"
"cell_256",4192.32,-872.18,"L5 eNeuron"
"cell_258",4094.92,-1122.9,"L5 eNeuron"
"cell_259",4082.02,-1281.7,"L5 eNeuron"
"cell_260",4032.92,-1487.7,"L5 eNeuron"
"cell_262",3968.02,-1620.9,"L5 eNeuron"
"cell_263",3946.22,-998.12,"L5 eNeuron"
