"","L2/3 eNeuron","L4 eNeuron","L5 eNeuron","L6 eNeuron"
"L2/3 eNeuron",0,0.404231174804568,0,0
"L4 eNeuron",0,0.406576204291637,0,0.360078279056981
"L5 eNeuron",0.404701319104481,1,0.815483816178979,0.646498454830081
"L6 eNeuron",0,0.785345916396545,0.390301687971943,0.549983943995261
