"cell_id","sdimx","sdimy","cell_type","sample_id","slice_id","class_label","label"
"150445484944551331186514471892705008279",-5579.97315693352,-3966.41649767176,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"150476194883822772513312904466140670340",-6501.85775082489,-3813.39916053428,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"150501318760907939806200372049187210393",-5368.88529276677,-4761.88541642283,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"150558855714892015791206236152050100391",-6727.14613653893,-4179.26283528858,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_5"
"150558913157917512172053479938126599692",-6773.45868827321,-4233.37747967007,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_1"
"150636417129791452817579850976245577215",-4761.96348048234,-4128.55569428906,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"15106077957738927128473806932874764097",-4029.95837797385,-4938.13377854547,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"151146522089582172129608605948274251847",-5212.32160723651,-3906.21808857674,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_1"
"15116447151098714376024081991736776665",-4373.013141446,-4632.46625947809,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"151236193066727077261973360487583163668",-5191.31693983075,-4507.7273336168,"L5/6 NP","mouse1_sample5","mouse1_slice212","Glutamatergic","L56_NP_2"
"151271178466357893047857585264760250982",-3991.81115103954,-4283.25859728576,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_1"
"151312912118688571540351890330440389036",-4133.99592408738,-4820.04583179486,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"151412224192568602715613097703906853578",-5433.09741490712,-3841.30744583198,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_4"
"15148242417557893227113283540809699878",-4110.31522527469,-5233.44969263768,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_4"
"151542397472629741971949188382478945547",-5866.19952718788,-4678.05346125673,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"151714913029843513220403926524575056828",-5234.91624320184,-4652.94998560629,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"151725903508469396339929169370020902813",-6309.69540055137,-4895.83210137356,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_1"
"15182235281128783003415729355480125005",-5516.59615401651,-3851.57974209553,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"151856398815466278583675932485550652039",-4958.9217661114,-3665.9916122004,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_2"
"151916978808029610679680644153647898198",-3972.48830636363,-5559.52471434586,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"152011518049899225435964269357431973739",-6032.83422400679,-4852.17327952234,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_1"
"152292227173353328029107601181887913020",-4209.20581159162,-4976.84484677187,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_2"
"152300039272113851184082850534786712267",-5717.17469924016,-3865.25411508474,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"1523075541687135474310303981507416912",-4310.07290150679,-4033.02211247086,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"152486858262474414133620593677893760393",-6534.23322940655,-3814.36881911161,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_2"
"152791175241644262002256185134919894265",-4858.33130544618,-3999.60805459992,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_2"
"152792231610330505742708907319606158350",-3789.0695132641,-4523.21554169224,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"15284364818095655764109633804963835233",-5997.03038621961,-4764.45337582038,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_1"
"152988486276796823788246026833487608973",-5936.43450646326,-4028.40857255998,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_4"
"153069750154099961717256506990219032950",-4332.34714139694,-4665.98569297008,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
"153176117643141336570883117846125911335",-5837.51339352756,-3901.23206515964,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"15323415272819522921559113644896075721",-4698.17145856465,-4408.90666694481,"L5/6 NP","mouse1_sample5","mouse1_slice212","Glutamatergic","L56_NP_1"
"153328407583888630882414520307426159129",-5981.86604393785,-3870.21779297494,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"153435757389057478871235653546663435967",-4208.45737792577,-5118.06514671978,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_2"
"153444479566675593849513701809633458027",-5687.97142240417,-4758.18677189626,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_2"
"153456246154822478809862958061487146084",-4912.29890718841,-3758.84363747883,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_4"
"153473229881500611383478706820649138220",-6015.89805562701,-4929.70962374139,"L6b","mouse1_sample5","mouse1_slice212","Glutamatergic","L6b_2"
"153480138828129975579066446694271052487",-4595.17393379162,-4246.41848860626,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_5"
"153702289188993529644986455813877006821",-3821.7133818341,-4556.20493433276,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"15396621792151652676730155399387952080",-5303.38183644157,-4818.12456135559,"L6 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_IT_3"
"154096552002013812078551444799385287029",-6716.61614954674,-3832.55176725238,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_2"
"154110141825133956317621572956536657411",-6601.99602946971,-3949.73456172615,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"154150775276892762920697731138682131369",-5446.09795092016,-4561.9450405527,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_4"
"154254052348127994669221618995686855761",-6738.52591856052,-4236.46867931329,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_1"
"154291760064699989100823361847879972586",-4543.88840478144,-4066.72999357575,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_1"
"154372413426173307855588490948964293443",-5082.9994909518,-4544.13933295609,"L5/6 NP","mouse1_sample5","mouse1_slice212","Glutamatergic","L56_NP_2"
"154429397535233278767206401394898117555",-4102.8100758499,-4133.67351718257,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_5"
"154554209154129106810818601486751990561",-4947.51261826156,-4201.16378937959,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_5"
"154637723903218502749996572427871898735",-5935.1763684992,-4835.92271585859,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_3"
"154656967989740216885941540810658805164",-5680.12678224423,-4215.03428122488,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_1"
"154712741678736138365529047433890835817",-6455.07202663105,-4024.17648900874,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_4"
"154796987560484882132487431582812347429",-6313.17445333163,-3787.76514772495,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_2"
"154833048115463235802672718515950489999",-5460.34177523858,-4350.59550316232,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_4"
